,Tmin,Tmax,T,RH,Rain,U
33913,7.9,16.5,12.0,79.0,1,12.8
33914,6.5,10.6,7.7,78.0,1,8.8
33915,4.5,10.0,7.0,79.0,1,8.1
33916,3.1,8.9,6.4,81.0,1,6.0
33917,6.4,11.8,8.1,81.0,1,8.4
33918,2.7,9.7,6.4,76.0,0,6.6
33919,4.7,11.0,8.6,80.0,0,8.6
33920,9.2,12.8,10.5,84.0,1,9.3
33921,4.9,12.4,9.3,85.0,1,7.9
33922,5.7,9.8,6.8,78.0,1,7.6
33923,2.1,8.3,4.3,74.0,0,6.5
33924,0.7,4.9,2.8,87.0,1,5.6
33925,-0.7,10.5,4.4,86.0,1,6.5
33926,5.8,11.3,8.0,77.0,0,9.9
33927,4.5,9.2,6.2,77.0,0,6.9
33928,4.1,8.4,5.7,89.0,1,4.8
33929,1.0,8.5,4.9,82.0,0,4.1
33930,2.0,9.8,5.6,88.0,1,3.7
33931,5.8,8.4,7.3,97.0,1,4.8
33932,4.8,9.2,6.2,80.0,0,6.4
33933,-0.1,10.2,6.4,76.0,0,4.6
33934,7.5,11.0,8.5,85.0,1,7.3
33935,4.3,12.1,7.8,78.0,1,6.5
33936,6.6,12.7,11.0,92.0,1,9.9
33937,11.6,14.2,12.5,88.0,1,8.5
33938,6.5,12.2,8.8,68.0,0,9.3
33939,5.5,12.0,7.6,71.0,0,5.7
33940,3.4,9.7,7.3,87.0,1,4.3
33941,6.4,14.3,9.6,79.0,0,4.4
33942,4.3,11.4,7.8,83.0,0,2.4
33943,0.5,14.6,7.8,68.0,0,2.6
33944,3.2,17.0,10.0,61.0,0,3.1
33945,4.9,14.1,9.5,82.0,0,3.0
33946,5.8,8.5,7.2,85.0,1,6.8
33947,4.3,9.6,6.4,68.0,0,7.6
33948,1.2,11.5,6.0,51.0,0,7.2
33949,-0.2,13.3,5.6,46.0,0,4.8
33950,-0.4,13.0,6.0,42.0,0,3.3
33951,1.3,11.5,6.5,37.0,0,4.3
33952,1.7,11.5,6.7,42.0,0,5.3
33953,2.7,12.8,7.8,59.0,0,5.0
33954,5.0,14.1,8.4,67.0,0,7.5
33955,2.6,8.5,5.0,50.0,0,9.3
33956,0.0,9.8,4.8,62.0,0,4.9
33957,2.0,9.9,5.6,64.0,0,5.3
33958,-0.3,11.3,5.5,61.0,0,3.0
33959,0.3,12.7,7.3,68.0,0,3.2
33960,5.2,12.5,8.9,63.0,0,2.9
33961,4.4,16.4,10.4,54.0,0,2.7
33962,4.4,21.3,13.3,50.0,0,4.5
33963,7.6,17.9,12.5,64.0,0,4.3
33964,4.5,20.5,13.7,65.0,0,2.8
33965,8.8,24.9,17.6,55.0,0,1.9
33966,9.5,23.3,16.7,59.0,0,3.5
33967,9.7,22.0,16.2,54.0,0,4.1
33968,9.5,23.8,16.2,49.0,0,2.4
33969,9.6,24.9,16.3,55.0,0,2.3
33970,8.4,12.1,9.3,61.0,0,7.9
33971,2.6,11.0,7.0,58.0,0,3.7
33972,3.6,17.8,11.0,53.0,0,3.3
33973,6.6,22.8,15.0,52.0,0,2.1
33974,8.4,21.8,15.3,65.0,1,4.2
33975,9.8,17.5,12.6,80.0,1,2.8
33976,7.0,16.2,12.2,77.0,0,4.1
33977,8.5,19.8,14.1,45.0,0,7.0
33978,9.0,20.5,14.9,39.0,0,6.6
33979,9.8,22.6,16.2,40.0,0,5.2
33980,9.0,24.1,16.7,45.0,0,2.0
33981,6.3,20.4,13.5,59.0,0,3.4
33982,6.5,16.3,10.1,70.0,0,4.0
33983,4.0,18.8,11.9,65.0,0,1.9
33984,7.8,23.7,15.5,52.0,1,2.6
33985,10.3,17.0,12.3,85.0,1,3.9
33986,10.2,17.1,12.2,78.0,1,6.3
33987,7.8,15.7,10.9,75.0,1,6.9
33988,7.6,15.6,11.0,74.0,0,7.0
33989,7.4,16.2,11.0,67.0,0,4.3
33990,5.0,17.8,11.3,81.0,0,2.3
33991,11.0,16.7,12.8,72.0,0,4.2
33992,7.0,16.1,11.3,55.0,0,5.7
33993,6.2,19.0,13.0,51.0,0,3.9
33994,6.1,21.6,15.0,52.0,0,2.0
33995,7.6,22.5,16.8,50.0,0,2.6
33996,12.8,25.0,19.2,52.0,1,2.9
33997,11.7,18.9,14.5,83.0,1,4.9
33998,7.0,13.3,9.3,51.0,0,9.7
33999,3.2,13.8,8.6,55.0,0,2.3
34000,3.1,14.5,9.2,56.0,0,4.7
34001,4.5,14.7,9.5,51.0,0,6.5
34002,5.4,16.5,10.9,51.0,0,4.6
34003,4.8,18.5,11.7,56.0,0,2.9
34004,5.0,21.0,13.7,57.0,0,2.5
34005,8.1,23.2,15.3,54.0,0,3.8
34006,8.0,25.3,17.2,64.0,0,2.7
34007,11.3,25.4,19.6,61.0,0,2.4
34008,13.8,29.3,21.9,58.0,0,1.8
34009,17.0,22.2,18.0,63.0,0,5.6
34010,12.4,18.7,14.7,60.0,0,7.7
34011,10.1,17.9,14.6,70.0,0,4.9
34012,10.3,23.5,17.5,60.0,0,2.4
34013,9.4,25.6,18.6,53.0,0,2.8
34014,11.7,23.8,17.8,52.0,0,4.2
34015,11.0,22.4,16.8,51.0,0,5.5
34016,11.0,23.6,17.8,46.0,0,4.3
34017,12.2,25.1,19.5,43.0,0,3.9
34018,13.3,23.3,19.0,39.0,0,4.4
34019,13.2,27.1,20.9,42.0,0,4.1
34020,13.7,27.9,21.0,49.0,0,2.9
34021,11.8,23.5,17.8,59.0,0,4.0
34022,11.9,16.8,13.7,70.0,0,4.8
34023,10.1,16.6,11.5,80.0,1,5.1
34024,8.1,15.7,12.1,68.0,1,7.7
34025,8.4,20.9,14.2,69.0,0,4.0
34026,12.0,15.1,12.5,84.0,0,4.2
34027,10.8,16.6,13.3,67.0,0,3.7
34028,5.5,19.6,14.4,63.0,0,1.8
34029,13.0,21.2,16.7,74.0,1,3.6
34030,13.1,21.3,17.1,74.0,0,3.8
34031,11.8,25.4,19.7,63.0,0,2.6
34032,12.8,23.5,18.8,63.0,0,2.8
34033,12.5,24.4,19.1,67.0,0,2.8
34034,13.0,24.4,18.5,71.0,0,2.9
34035,13.9,23.6,17.5,81.0,1,1.7
34036,14.3,21.5,17.2,80.0,1,2.5
34037,11.8,21.5,16.5,73.0,0,3.5
34038,10.7,24.1,18.0,64.0,0,1.6
34039,13.5,22.3,17.0,76.0,1,3.8
34040,11.0,23.9,18.1,64.0,0,2.5
34041,12.3,27.7,21.8,56.0,0,2.4
34042,17.0,31.6,25.5,46.0,0,4.1
34043,19.0,31.6,25.7,43.0,0,3.4
34044,18.6,28.2,22.7,68.0,1,2.9
34045,16.6,22.9,18.6,79.0,1,4.6
34046,12.8,22.3,17.4,60.0,0,5.9
34047,12.5,20.3,15.9,62.0,0,6.8
34048,12.0,20.6,17.3,77.0,1,5.0
34049,16.4,21.9,18.2,79.0,0,5.6
34050,14.7,21.4,17.3,69.0,0,5.7
34051,12.4,22.3,17.4,67.0,0,5.4
34052,14.5,20.6,17.8,82.0,0,6.6
34053,16.8,21.9,17.7,76.0,0,9.5
34054,11.8,19.0,15.6,66.0,0,4.9
34055,9.9,22.6,16.8,63.0,0,3.5
34056,13.4,18.6,16.2,89.0,1,4.3
34057,16.3,25.6,19.7,73.0,0,5.9
34058,15.5,20.5,16.7,72.0,1,4.7
34059,9.5,21.3,15.8,67.0,0,3.6
34060,9.6,22.5,17.1,61.0,0,3.3
34061,11.9,25.8,19.5,51.0,0,2.6
34062,14.7,20.3,16.6,79.0,1,2.9
34063,13.6,20.9,16.9,74.0,0,2.4
34064,15.1,19.2,16.5,82.0,0,3.6
34065,15.8,27.3,20.8,67.0,0,2.0
34066,14.3,26.6,19.2,69.0,0,3.2
34067,11.3,26.4,18.0,74.0,1,3.6
34068,13.3,22.4,17.5,61.0,0,4.6
34069,9.4,22.9,16.7,57.0,0,3.5
34070,9.2,23.0,16.8,57.0,0,2.7
34071,10.2,26.0,19.5,50.0,0,2.6
34072,16.0,24.5,19.3,70.0,0,4.4
34073,15.1,24.1,19.2,77.0,1,4.4
34074,14.7,23.1,18.5,70.0,0,5.0
34075,14.3,29.5,21.1,61.0,0,5.3
34076,16.5,22.6,18.3,65.0,0,6.4
34077,10.9,25.0,18.0,62.0,0,2.4
34078,13.2,30.2,22.7,47.0,0,2.2
34079,17.1,38.2,27.7,42.0,0,4.2
34080,18.2,27.5,21.5,65.0,0,4.7
34081,14.5,24.7,18.6,64.0,0,4.0
34082,12.0,23.1,16.9,71.0,0,3.4
34083,10.0,25.1,18.0,60.0,0,2.5
34084,11.7,30.5,22.0,47.0,0,3.7
34085,14.0,33.5,24.9,44.0,0,1.6
34086,18.0,35.4,28.0,41.0,0,2.2
34087,19.2,37.1,29.3,40.0,0,2.2
34088,23.0,36.2,29.9,42.0,1,4.0
34089,21.8,34.8,28.3,51.0,0,2.4
34090,21.6,34.8,28.0,52.0,0,2.0
34091,20.7,34.5,27.8,56.0,0,2.6
34092,19.9,30.9,25.0,65.0,1,2.9
34093,18.8,23.5,20.7,88.0,1,2.3
34094,19.2,27.1,21.6,83.0,1,2.2
34095,17.1,27.3,21.0,82.0,0,1.8
34096,15.6,24.7,19.1,78.0,1,3.2
34097,14.2,25.6,19.7,71.0,0,2.8
34098,15.3,26.1,20.1,79.0,1,4.4
34099,19.0,31.3,24.6,70.0,0,3.3
34100,21.6,28.5,24.4,52.0,0,6.4
34101,16.2,22.5,18.9,69.0,1,6.5
34102,14.2,21.0,17.2,75.0,0,5.6
34103,14.2,23.3,17.1,76.0,1,4.4
34104,13.5,24.9,17.8,79.0,1,7.3
34105,16.2,20.7,17.9,69.0,0,8.2
34106,11.3,22.4,17.2,74.0,0,4.3
34107,13.4,21.4,16.8,74.0,1,5.7
34108,11.4,18.3,14.3,86.0,1,3.4
34109,13.1,19.2,15.2,84.0,1,4.1
34110,10.2,19.4,15.2,70.0,0,3.0
34111,13.0,20.4,15.6,64.0,0,2.8
34112,9.2,20.9,15.8,67.0,0,1.4
34113,13.9,22.1,18.4,77.0,0,4.9
34114,16.2,22.8,18.6,72.0,1,3.8
34115,13.2,20.3,15.8,69.0,0,3.8
34116,8.4,21.0,14.7,68.0,0,2.1
34117,8.8,22.5,16.0,71.0,0,3.0
34118,14.4,21.0,17.8,84.0,0,3.7
34119,15.9,25.7,20.3,75.0,0,3.9
34120,15.4,22.5,18.1,61.0,0,3.1
34121,11.4,23.4,17.2,66.0,0,2.0
34122,9.4,22.5,16.0,72.0,0,2.9
34123,10.7,26.1,18.2,69.0,0,1.8
34124,11.4,31.9,22.1,58.0,0,1.9
34125,17.3,35.1,24.8,55.0,0,2.0
34126,15.5,28.5,21.1,71.0,0,4.6
34127,12.6,20.9,16.3,58.0,0,6.1
34128,9.8,24.3,17.3,57.0,0,4.9
34129,13.9,29.2,21.4,55.0,0,3.5
34130,16.3,26.5,19.9,52.0,0,3.9
34131,9.2,24.7,16.7,66.0,0,2.4
34132,10.6,25.3,16.7,72.0,0,2.0
34133,13.1,22.1,17.1,79.0,1,5.5
34134,10.5,16.8,13.0,79.0,1,6.8
34135,8.2,12.4,10.3,81.0,1,8.4
34136,8.9,13.2,10.7,87.0,1,8.8
34137,11.3,18.4,14.5,87.0,1,6.6
34138,12.7,14.8,13.4,95.0,0,3.9
34139,10.5,19.1,14.6,88.0,0,2.5
34140,12.9,19.5,16.1,85.0,1,3.9
34141,11.2,16.6,13.1,85.0,1,5.0
34142,8.9,14.4,12.5,91.0,1,5.4
34143,11.1,15.2,12.5,84.0,1,3.4
34144,10.4,15.2,11.9,78.0,1,8.5
34145,10.0,16.3,12.7,88.0,1,6.4
34146,11.1,15.5,12.8,87.0,1,6.8
34147,9.6,16.3,12.5,78.0,0,5.2
34148,10.6,17.8,14.7,88.0,1,6.4
34149,10.7,16.5,12.5,83.0,1,3.3
34150,5.0,14.8,9.8,81.0,1,5.1
34151,6.8,14.1,9.9,89.0,1,4.4
34152,7.2,13.7,10.6,82.0,0,2.9
34153,8.7,9.9,9.2,91.0,1,5.0
34154,5.9,12.7,9.2,82.0,0,5.1
34155,7.9,11.8,9.7,70.0,0,4.8
34156,8.8,12.2,10.0,72.0,0,3.6
34157,4.0,12.9,8.9,81.0,0,1.2
34158,8.9,13.2,10.4,85.0,0,2.6
34159,6.8,14.9,10.4,79.0,0,3.4
34160,9.1,15.4,13.0,83.0,1,5.8
34161,12.7,20.9,16.0,80.0,1,8.3
34162,11.4,17.6,13.3,86.0,0,3.2
34163,8.3,17.8,12.9,87.0,0,3.4
34164,11.1,16.3,14.2,85.0,1,8.5
34165,10.7,12.8,11.4,86.0,0,6.1
34166,7.4,13.1,9.6,83.0,0,6.2
34167,6.8,12.3,10.1,89.0,1,6.4
34168,9.6,13.7,11.0,84.0,1,6.8
34169,8.4,14.2,11.8,88.0,1,6.2
34170,12.7,16.2,14.4,84.0,0,5.2
34171,12.3,16.8,13.7,81.0,1,5.8
34172,10.6,18.6,15.3,89.0,1,7.1
34173,12.6,18.9,15.1,81.0,1,8.8
34174,6.5,12.4,8.5,81.0,0,5.9
34175,2.0,13.0,6.1,83.0,0,1.5
34176,-0.7,11.1,5.1,85.0,0,1.5
34177,2.0,12.0,6.5,75.0,0,3.2
34178,3.8,15.6,9.1,86.0,0,2.4
34179,7.0,16.7,12.0,87.0,0,3.2
34180,10.7,18.1,13.1,87.0,0,2.3
34181,8.7,13.0,10.6,97.0,1,1.1
34182,9.0,13.1,11.3,93.0,1,4.2
34183,9.2,13.3,10.2,85.0,0,4.7
34184,5.2,14.1,10.8,92.0,0,4.1
34185,10.6,15.0,12.9,85.0,0,5.6
34186,10.1,15.2,12.1,79.0,1,8.6
34187,7.2,12.0,10.5,87.0,0,5.8
34188,10.2,13.2,11.8,83.0,0,5.7
34189,8.6,15.1,12.2,77.0,0,5.4
34190,7.8,11.8,8.9,80.0,1,5.4
34191,1.0,8.8,5.3,80.0,0,3.0
34192,4.9,11.0,9.0,81.0,0,5.8
34193,9.2,11.3,9.8,90.0,1,3.2
34194,7.0,10.1,8.6,93.0,0,1.8
34195,6.2,10.5,7.6,90.0,0,4.5
34196,4.1,10.2,7.2,86.0,0,4.2
34197,6.0,11.4,7.5,88.0,0,1.3
34198,5.5,8.3,7.0,96.0,0,1.9
34199,3.1,11.1,6.5,89.0,0,2.6
34200,2.7,3.6,2.9,96.0,0,3.3
34201,0.5,9.0,3.8,96.0,1,4.3
34202,6.3,10.3,7.8,83.0,0,6.2
34203,3.6,7.6,6.1,94.0,1,2.3
34204,5.4,7.8,6.0,93.0,1,6.4
34205,4.6,6.2,4.9,82.0,0,7.3
34206,0.9,5.9,4.0,83.0,0,4.6
34207,-0.1,6.5,2.0,87.0,0,1.7
34208,-1.7,1.8,0.2,97.0,0,2.8
34209,0.4,2.7,1.4,98.0,0,2.2
34210,0.3,3.9,2.7,98.0,0,4.4
34211,2.2,6.0,3.6,87.0,0,4.7
34212,1.6,8.5,5.7,96.0,1,4.3
34213,5.4,9.2,7.6,95.0,0,3.5
34214,2.5,9.9,5.7,92.0,1,5.4
34215,6.6,11.8,10.1,91.0,1,6.2
34216,7.2,12.3,8.9,91.0,0,3.6
34217,4.7,9.4,7.6,94.0,1,4.8
34218,7.6,10.8,8.6,88.0,0,4.9
34219,6.6,11.3,8.7,87.0,0,6.1
34220,6.6,11.2,9.1,89.0,1,6.3
34221,7.5,10.7,8.4,87.0,0,5.1
34222,5.1,14.2,9.4,94.0,1,6.9
34223,11.5,13.7,12.7,92.0,1,5.0
34224,10.8,13.3,11.7,89.0,1,5.6
34225,4.0,6.9,5.6,87.0,1,5.8
34226,2.3,6.3,3.7,89.0,1,3.9
34227,0.9,6.0,4.0,88.0,0,6.9
34228,4.1,7.2,5.2,90.0,1,9.1
34229,0.9,5.5,3.1,91.0,0,3.5
34230,-0.1,4.9,2.8,92.0,0,2.5
34231,-0.1,6.4,3.4,91.0,1,3.2
34232,1.4,4.7,2.5,94.0,0,2.8
