name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lille,2021-01-14,3.9,0.8,1.9,2.8,-5.1,-2,1.4,96.3,22.595,100,100,"rain,snow",0,0,42.5,27.5,68.7,1017.1,98.2,4.7,10.9,0.8,1,,2021-01-14T08:43:38,2021-01-14T17:10:31,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,AT575,07015099999"
Lille,2021-01-15,2.1,-0.2,0.8,1.8,-5.3,-2.5,-1.9,82.4,0.207,100,8.33,"rain,snow",0,0,36.6,22,12.5,1027.8,85.8,12.6,22.5,1.9,2,,2021-01-15T08:42:51,2021-01-15T17:12:01,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-16,1.1,-0.9,0,0.8,-7.1,-3.8,-1.5,89.5,0.451,100,41.67,"rain,snow",1,0.6,38.7,25.6,172.7,1023.9,99.3,6.7,8.1,0.5,0,,2021-01-16T08:42:01,2021-01-16T17:13:33,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-17,5.9,0.9,3.8,2.7,-1.9,0.7,2.6,92.5,2.223,100,45.83,"rain,snow",0,0.4,35.2,23.8,277.4,1021.4,94.2,15.8,18.6,1.5,1,,2021-01-17T08:41:09,2021-01-17T17:15:06,0.14,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-18,5.9,0.9,3.5,2.9,-1.8,0.6,2.3,92.2,0.576,100,20.83,rain,0,0,38.6,25.6,210.9,1024,76.8,13.2,24.5,2,1,,2021-01-18T08:40:14,2021-01-18T17:16:41,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-19,9.8,4.1,6.7,6.1,-0.8,2.3,5.2,89.8,1.553,100,45.83,rain,0,0,64,40.4,199.4,1010.6,96.9,17.3,9.5,0.7,0,,2021-01-19T08:39:16,2021-01-19T17:18:16,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-20,10.8,6.1,8.3,10.8,1.6,4.6,3.8,74.1,0.014,100,8.33,rain,0,0,61.1,36.9,179.1,997,96.3,24,23.9,2,1,,2021-01-20T08:38:15,2021-01-20T17:19:53,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-21,11,5.1,7.5,11,0.3,4,4.5,81.4,8.928,100,45.83,rain,0,0,100.3,48.2,194.6,988.5,82.6,21.6,28.9,2.4,2,,2021-01-21T08:37:12,2021-01-21T17:21:31,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-22,6.8,2.1,4.1,5.3,-0.6,1.3,2.5,89.6,3.435,100,16.67,rain,0,0,43.7,22.2,216.1,993.4,84.8,21.3,36.9,3.1,2,,2021-01-22T08:36:06,2021-01-22T17:23:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,06432099999,F2929,D8013,06428099999,LFQQ,E6728,07015099999"
Lille,2021-01-23,4.1,0.8,2.6,4,-4,-0.5,1.4,91.4,1.833,100,20.83,"rain,snow",0,0,43.3,20.3,220.5,995.2,80.9,17.8,16,1.3,1,,2021-01-23T08:34:58,2021-01-23T17:24:50,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06414099999,06432099999,F2929,D8013,06428099999,LFQQ,07015099999"
Lille,2021-01-24,2,-1.8,0.7,-1.9,-5.7,-3.6,-0.7,90.6,0.515,100,20.83,"rain,snow",0,0,38.1,21.9,199.6,998.5,78.7,13.8,23.5,2.1,1,,2021-01-24T08:33:48,2021-01-24T17:26:31,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-25,5.9,1,2.4,3.2,-3.3,-0.8,0.3,86,0.038,100,12.5,"rain,snow",0,0,33.9,22.2,279.5,1005.9,74.6,16.8,42.7,3.7,3,,2021-01-25T08:32:35,2021-01-25T17:28:12,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06414099999,06434099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-26,4.1,-0.2,1.9,1,-4.2,-1.9,-0.7,82.9,0,0,0,,0,0,51.3,34.8,217.2,1018.6,76.9,24,32.4,2.9,2,,2021-01-26T08:31:19,2021-01-26T17:29:54,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-27,8.7,0.8,4.6,7.3,-4.9,1.3,3.8,95.1,2.332,100,37.5,"rain,snow",0,0,51.5,29.3,189.1,1013,99.7,6.3,18.7,1.5,1,,2021-01-27T08:30:02,2021-01-27T17:31:37,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-28,11.8,7,9.7,11.8,4.9,8.4,8.8,94.1,11.378,100,58.33,rain,0,0,64.2,40.2,237.8,1004.3,99.1,11.1,18.5,1.6,1,,2021-01-28T08:28:42,2021-01-28T17:33:21,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-29,10,5.7,8.3,10,0.5,4.9,7.7,91.8,12.386,100,54.17,rain,0,0,58.9,38.6,248.6,999,97,14.9,28.3,2.3,2,,2021-01-29T08:27:20,2021-01-29T17:35:05,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-30,8,2,5.1,6.2,-4.1,1.2,4.3,94.7,7.814,100,66.67,rain,0,0,44.4,32.6,67.5,998.8,98.3,7.9,13.6,1,1,,2021-01-30T08:25:56,2021-01-30T17:36:49,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-31,4.1,0,1.9,1.3,-5.2,-2.4,0.5,90.7,1.199,100,29.17,rain,0,0,41.9,27.5,60.5,998.3,99.9,8.7,19.8,1.6,1,,2021-01-31T08:24:30,2021-01-31T17:38:34,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06414099999,06432099999,F2929,D8013,06428099999,LFQQ,AT575,07015099999"
Lille,2021-02-01,5.7,4.1,4.7,4.7,1.3,2.2,4.2,96.4,0.412,100,29.17,rain,0,0,31.4,22,311.5,995,100,4.9,16.6,1.3,1,,2021-02-01T08:23:01,2021-02-01T17:40:19,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-02,12.1,4.8,8.7,12.1,1.2,6.9,7.3,91.1,2.448,100,62.5,rain,0,0,47.2,29.1,197.1,999.4,90.6,10.3,28.3,2.6,1,,2021-02-02T08:21:31,2021-02-02T17:42:05,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-03,12.1,7.6,9.5,12.1,4,7.4,7.7,88.6,17.65,100,62.5,rain,0,0,50.6,31.1,210.2,997.7,95.6,16.2,25.8,2,2,,2021-02-03T08:19:59,2021-02-03T17:43:51,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-04,8,3.1,6.2,6.7,0.7,3.8,5.3,93.5,0.025,100,16.67,rain,0,0,31.4,18.3,166.3,1011.3,71.9,12.2,28.7,2.4,1,,2021-02-04T08:18:25,2021-02-04T17:45:37,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,06434099999,06407099999,06432099999,F2929,06428099999,LFQQ,AT575,07015099999"
Lille,2021-02-05,10.8,5.2,7.9,10.8,3.4,6.6,6.4,90.7,0.005,100,4.17,rain,0,0,25.8,16.3,174.8,1010.6,98.4,16.2,35.4,3.3,2,,2021-02-05T08:16:49,2021-02-05T17:47:23,0.77,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-06,8.9,1.9,6.4,6.9,-3.6,4.2,5.1,91.3,2.271,100,25,"rain,snow",0,0,49.3,25.8,45.9,1005.9,98.2,8.2,32.2,2.8,2,,2021-02-06T08:15:12,2021-02-06T17:49:09,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-07,0.9,-3,-1.1,-4.5,-7.9,-6.1,-2.4,90.9,0.54,100,33.33,"rain,snow",0,0,42.1,24,9.8,998.5,99.3,6.2,6.6,0.6,0,,2021-02-07T08:13:32,2021-02-07T17:50:56,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06432099999,F2929,D8013,06428099999,LFQQ,07015099999"
Lille,2021-02-08,-3,-5.9,-4.1,-7.8,-13,-10,-6.1,86.1,0.154,100,54.17,snow,1,0.6,34.8,22.3,26,1000.2,97.5,6.8,8.7,0.8,0,,2021-02-08T08:11:52,2021-02-08T17:52:42,0.88,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"06414099999,06432099999,F2929,D8013,06428099999,LFQQ,07015099999"
Lille,2021-02-09,-3,-6.2,-5.1,-8.7,-13.5,-11.7,-9,74.4,0.024,100,12.5,snow,0,0.4,40.2,27.3,52.9,1006,64.6,13.6,43.7,3.8,2,,2021-02-09T08:10:09,2021-02-09T17:54:29,0.92,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06414099999,EBCV,EBOS,EBFN,06432099999,F2929,06428099999,LFQQ,LFAQ,07015099999"
Lille,2021-02-10,-2,-6.9,-4.6,-3.1,-15,-10.5,-8.4,74.5,0.006,100,4.17,snow,0,0,51.5,29.5,40.7,1009.5,47,12.2,83.8,7.3,4,,2021-02-10T08:08:25,2021-02-10T17:56:15,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"06414099999,EBCV,EBOS,EBFN,06432099999,F2929,06428099999,LFQQ,LFAQ,07015099999"
Lille,2021-02-11,-1,-6.1,-3.6,-1.1,-11.4,-8.2,-7.3,76.2,0,0,0,,0,0,12.6,24.5,67.1,1027.1,48.6,9.2,92.3,8,5,,2021-02-11T08:06:39,2021-02-11T17:58:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,EBCV,EBOS,EBFN,06432099999,F2929,06428099999,LFQQ,LFAQ,06432599999,07015099999"
Lille,2021-02-12,-1.1,-6.1,-4,-2.1,-12.6,-9.1,-8.9,69.5,0,0,0,,0,0,,31.7,64.3,1029.1,46.6,9.6,95.7,8.2,4,,2021-02-12T08:04:52,2021-02-12T17:59:48,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"EBCV,EBOS,EBFN,F2929,LFQQ,LFAQ,06432599999"
Lille,2021-02-13,1,-7.1,-3.4,-4.2,-14.5,-9.3,-10.6,59,0.006,100,4.17,snow,0,0,46,25.8,84.8,1035.4,19.9,16.8,97.7,8.4,5,,2021-02-13T08:03:04,2021-02-13T18:01:34,0.05,Snow,Clear conditions throughout the day with morning snow.,rain,"EBCV,06414099999,EBOS,EBFN,F2929,06432099999,LFQQ,LFAQ,06428099999,07015099999"
Lille,2021-02-14,2.9,-5.6,-1,-1.3,-11.4,-6.5,-9.7,52.9,0,0,0,,0,0,55,36.5,146,1032.5,41.9,27.5,80.6,6.9,4,,2021-02-14T08:01:14,2021-02-14T18:03:20,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-15,6.7,1.2,4,4,-4.9,-0.4,1,81.2,1.884,100,41.67,"rain,snow",0,0,47.9,29.4,174.1,1023.7,97,13.8,26.7,2.3,1,,2021-02-15T07:59:23,2021-02-15T18:05:06,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-16,11,3.9,7.5,11,1,4.9,4.7,82.6,1.98,100,25,rain,0,0,47.5,29.4,182.5,1015.2,85.7,20.6,67.4,5.7,3,,2021-02-16T07:57:30,2021-02-16T18:06:52,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-17,13,6.1,8.8,13,2.2,6.5,6,83.1,0.014,100,4.17,rain,0,0,54.9,33.2,196,1015.7,86.7,19.2,75.6,6.5,4,,2021-02-17T07:55:36,2021-02-17T18:08:37,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-18,10.9,4.2,7.2,10.9,0.8,4.5,4.6,83.9,1.602,100,29.17,rain,0,0,54.9,31.4,173.8,1009,67.8,21.5,37,3.3,2,,2021-02-18T07:53:41,2021-02-18T18:10:23,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,06407099999,06432099999,F2929,D8013,06428099999,LFQQ,07015099999"
Lille,2021-02-19,10.9,1.9,6.3,10.9,-1.9,3.6,4.4,88.2,0.6,100,16.67,rain,0,0,44,29.5,163.1,1015,63.2,10.3,57.8,4.7,3,,2021-02-19T07:51:45,2021-02-19T18:12:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,EBCV,EBOS,06490199999,06407099999,06432099999,F2929,06428099999,LFQQ,LFAQ,07015099999"
Lille,2021-02-20,15.9,8,12.1,15.9,5,11.4,7.1,72.1,0,0,0,,0,0,48.2,31.6,153.3,1008.5,88.2,11.1,99.9,8.7,5,,2021-02-20T07:49:48,2021-02-20T18:13:53,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,EBOS,06434099999,06407099999,F2929,LFQQ,LFAQ,06428099999"
Lille,2021-02-21,15.9,8,11.5,15.9,5.7,10.8,5.9,69,0,0,0,,0,0,33.1,25.7,148.5,1011.6,69.7,13.4,104.1,9,5,,2021-02-21T07:47:50,2021-02-21T18:15:37,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,EBOS,06434099999,06407099999,F2929,06432099999,06428099999,LFQQ,LFAQ,07015099999"
Lille,2021-02-22,15,8.8,11.7,15,6.7,10.9,5.7,66.8,0.011,100,4.17,rain,0,0,32.6,20.1,158.4,1017.1,85.9,23.6,65,5.7,3,,2021-02-22T07:45:50,2021-02-22T18:17:22,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06414099999,06434099999,06407099999,06432099999,F2929,D8013,06428099999,LFQQ,07015099999"
Lille,2021-02-23,17,8.9,13.2,17,7.4,13.1,8.9,75.4,0.006,100,4.17,rain,0,0,60.7,38.4,187.8,1027.4,49.5,15,93.9,8,5,,2021-02-23T07:43:50,2021-02-23T18:19:06,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06414099999,EBCV,06407099999,06432099999,F2929,06400099999,06428099999,LFQQ,07015099999"
Lille,2021-02-24,18.9,10,13.9,18.9,7.7,13.8,8.7,71.6,0,0,0,,0,0,49.7,29.5,178.7,1027.6,4.7,18.1,125.2,10.9,5,,2021-02-24T07:41:49,2021-02-24T18:20:50,0.41,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-25,15.9,7.1,11.2,15.9,6.2,10.7,7.5,79.1,0.006,100,4.17,rain,0,0,27,16.3,257.4,1027,52.5,14.8,72.6,6.2,5,,2021-02-25T07:39:47,2021-02-25T18:22:33,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-26,10.9,4.7,7.9,10.9,3.3,6.6,4.3,80.2,0.766,100,20.83,rain,0,0,35,20.5,334.8,1035.5,55.7,11.1,112.3,9.8,5,,2021-02-26T07:37:44,2021-02-26T18:24:16,0.47,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-27,7.9,0.8,4.1,5,-1,2,2.5,89.4,0,0,0,,0,0,31.1,21.9,30.2,1040.1,43.8,5.3,119.5,10.2,5,,2021-02-27T07:35:40,2021-02-27T18:25:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-02-28,11,2.1,6.2,11,-2,3.4,2.8,80.5,0,0,0,,0,0,41.9,25.8,41.5,1035.8,8.7,7.4,135.5,11.6,5,,2021-02-28T07:33:35,2021-02-28T18:27:42,0.54,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-01,10.9,2.1,6.4,10.9,-0.3,4.3,3.1,80.4,0,0,0,,0,0,34.7,22,49.3,1030.9,16.7,6.2,142.6,12.3,6,,2021-03-01T07:31:30,2021-03-01T18:29:25,0.57,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-02,15.1,2.1,7.9,15.1,-0.1,7.1,3.4,75,0,0,0,,0,0,18,9.3,94.1,1028.7,0.2,8,140.2,12.2,5,,2021-03-02T07:29:24,2021-03-02T18:31:07,0.61,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-03,16.1,5,9.8,16.1,5,9.7,5.9,78.3,0,0,0,,0,0,25.3,10.9,186.6,1027.2,61.9,7,102.8,8.7,5,,2021-03-03T07:27:17,2021-03-03T18:32:49,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-04,7.7,4,5.8,6.9,0.9,3.5,4.5,91.9,1.181,100,29.17,rain,0,0,29.4,18.1,338,1022.3,98.6,6.8,19.4,1.6,1,,2021-03-04T07:25:09,2021-03-04T18:34:30,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-05,6.8,1.8,4.1,3.1,-1.8,0.4,-2.4,64.3,0.002,100,4.17,rain,0,0,44,25.7,23.6,1028.4,45.3,19,150.5,12.9,6,,2021-03-05T07:23:01,2021-03-05T18:36:11,0.72,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-06,7.1,-0.9,2.9,3.7,-5,-0.8,-3.8,63.4,0,0,0,,0,0,39.8,23.3,34.9,1032.1,0,15.3,161.5,13.9,6,,2021-03-06T07:20:53,2021-03-06T18:37:52,0.75,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-07,7,-1,2.7,4.6,-5.1,-0.8,-2.5,69.6,0,0,0,,0,0,33.1,18.2,20.6,1025.9,17.9,12.8,137.8,11.8,5,,2021-03-07T07:18:44,2021-03-07T18:39:33,0.79,Clear,Clear conditions throughout the day.,clear-day,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-08,8.8,0,4.6,7.5,-2.4,3.1,-2.4,61.5,0,0,0,,0,0,21.6,11.1,15.8,1023.4,68.9,12.3,155.1,13.4,6,,2021-03-08T07:16:34,2021-03-08T18:41:14,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,06434099999,06407099999,06432099999,F2929,06428099999,LFQQ,07010099999,07015099999"
Lille,2021-03-09,9.8,3.8,6.4,8.9,1,4.5,2.4,76.2,0.053,100,25,rain,0,0,28.9,18.1,275.9,1019.8,92.4,10.1,61,5.3,2,,2021-03-09T07:14:24,2021-03-09T18:42:54,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-03-10,10,1.9,5.9,10,-0.7,2.6,1.5,75.3,0.791,100,25,rain,0,0,64.5,42,187.5,1014.3,80.5,9.4,71.8,6,4,,2021-03-10T07:12:13,2021-03-10T18:44:34,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
